128, 0, 1, 1239204, 826299
128, 0, 10, 12389736, 8262990
128, 1, 1, 2474404, 1649595
128, 1, 10, 24739432, 16495950
128, 2, 1, 3709604, 2472891
128, 2, 10, 37089128, 24728910
128, 3, 1, 4944804, 3296187
128, 3, 10, 49438824, 32961870
160, 0, 1, 1933860, 1289403
160, 0, 10, 19336296, 12894030
160, 1, 1, 3863716, 2575803
160, 1, 10, 38632552, 25758030
160, 2, 1, 5793572, 3862203
160, 2, 10, 57928808, 38622030
160, 3, 1, 7723428, 5148603
160, 3, 10, 77225064, 51486030
192, 0, 1, 2782884, 1855419
192, 0, 10, 27826536, 18554190
192, 1, 1, 5561764, 3707835
192, 1, 10, 55613032, 37078350
192, 2, 1, 8340644, 5560251
192, 2, 10, 83399528, 55602510
192, 3, 1, 11119524, 7412667
192, 3, 10, 111186024, 74126670
224, 0, 1, 3786276, 2524347
224, 0, 10, 37860456, 25243470
224, 1, 1, 7568548, 5045691
224, 1, 10, 75680872, 50456910
224, 2, 1, 11350820, 7567035
224, 2, 10, 113501288, 75670350
224, 3, 1, 15133092, 10088379
224, 3, 10, 151321704, 100883790
